id,state,title,summary,edition_uri,edition_title,arlima_uri
RicheGetaPain,incomplete,Le dit du riche home qui geta le pain a la teste du povre,An avaricious man throws bread at a peasant’s head and realises the error of his ways.,,,https://www.arlima.net/il/jean_de_saint-quentin/le_dit_du_riche_home_qui_geta_le_pain.html
ChienMescreant,incomplete,Le dit du chien et du mescreant,"A non‑believer tries to feed the Host to his dog, which devours him instead.",,,https://www.arlima.net/il/jean_de_saint-quentin/le_dit_du_chien_et_du_mescreant.html
Pecherresse,incomplete,Le dit de la pecherresse qui estrangla III enfans,Mary saves a pious woman who is tempted into incest and kills her children.,,,https://www.arlima.net/il/jean_de_saint-quentin/le_dit_de_la_pecherresse_qui_estrangla_trois_enfans.html
EngleterreFlandres,incomplete,Le dit de la rebellion d’Engleterre et de Flandres,Anti‑English invective written as advice for a king.,,,https://www.arlima.net/qt/rebellion_dengleterre_et_de_flandres_dit_de_la.html
Mais,incomplete,Le dit des mais,"A poem explaining how all roles in society are important, but greed so often gets the better of us all.",,,https://www.arlima.net/eh/gieffroy/le_dit_des_mais.html
Bacchus,incomplete,Le martyre de saint Bacchus,"A parodic hagiography of Saint Bacchus (that is, wine).",,,https://www.arlima.net/eh/gieffroy/le_martyre_de_saint_bacchus.html
FreresMeneurs,incomplete,La requeste des freres meneurs sus le septiesme Climent le quint,"Satirical criticism of monastic orders, addressed to Pope Clement V.",,,https://www.arlima.net/qt/requeste_des_freres_meneurs.html
Patenostres,incomplete,Le dit des patenostres,"Discussion of, and prayers for, all the estates.",,,https://www.arlima.net/eh/gieffroy/le_dit_des_patenostres.html
DitNostreDame,incomplete,Le dit de Nostre Dame,"Three separate poems, all in praise of the Virgin Mary.",,,
Panthere,near-complete,La panthere d’amors,"A dream allegory on bestiary themes, in which the narrator learns the significance of the panther and other beasts, as well as flowers and stones.",,,https://www.arlima.net/mp/nicole_de_margival/la_panthere_d_amors.html
Ysopet,incomplete,Isopet,A version of the Ysopet (Paris II) containing 40 different tales.,,,https://www.arlima.net/il/isopets/isopet_2_de_paris.html
Antecrist,incomplete,Dit du tournoiement d’Antecrist et d’euls de son barnage,An allegorical tourney between the forces of the Light and the Dark.,,,https://www.arlima.net/eh/huon_de_mery.html
LaiAmour1,incomplete,Lai d’amour 1,"An untitled lai d’amour, of which the end is missing.",,,
Merlin,incomplete,Le dit de Merlin Mellot,A peasant receives riches from Merlin but loses them through his lack of respect.,,,https://www.arlima.net/il/jean_de_saint-quentin/le_dit_de_merlin_mellot.html
